Ticker,Volatility,Avg_Return,Sharpe,Label
AMZN,0.026792571820294698,0.00012948865784166675,0.004832825526590897,1
MSFT,0.019336076868022082,0.00045563354372438056,0.02356268979195435,0
NVDA,0.035621395942774726,0.001621357073618869,0.045515104492788276,1
JPM,0.01618078310833132,0.00035290731161072666,0.02180892607743763,0
TSLA,0.03786748305501888,-0.00023001821078000572,-0.00607413321642205,1
TCS.NS,0.013122294155297767,0.00016732629977611285,0.0127503276079935,0
GOOGL,0.021950802120283597,0.0001667305918604176,0.007595303153100015,0
META,0.0338950816798357,0.0006796041243543365,0.020049636733045263,1
UNH,0.01437100030056354,0.0002525886565553017,0.017575052273370566,0
AAPL,0.018297561141715827,0.0003022338599643146,0.016516810126414923,0
