Price,Close,High,Low,Open,Volume,Ticker
Ticker,UNH,UNH,UNH,UNH,UNH,
Date,,,,,,
2022-01-03,478.9945373535156,479.58578979247477,470.1924252787588,476.8202382312928,3033600,UNH
2022-01-04,468.1421203613281,480.3964067307517,468.12305802814285,479.87191609156963,3908100,UNH
2022-01-05,466.98822021484375,473.9593299631401,466.98822021484375,471.83270116456765,3921100,UNH
2022-01-06,447.8772277832031,461.6954975782545,441.6499568607983,457.7474121788693,6555200,UNH
2022-01-07,437.3395080566406,446.275114250503,434.43088727655885,446.00809609358106,5494200,UNH
2022-01-10,443.44287109375,444.2629880257832,433.37242886552247,434.86010584677416,5831800,UNH
2022-01-11,447.25738525390625,448.6401755914394,439.31357285835895,445.5408440305115,3332800,UNH
2022-01-12,451.75860595703125,453.28443666923334,444.7207339878843,447.2288133099689,3502300,UNH
2022-01-13,445.7602233886719,454.4574210962244,444.3774619657256,453.82804390403203,3005300,UNH
2022-01-14,446.9617614746094,451.2340813266317,443.5191041885195,448.10614169832195,3665400,UNH
2022-01-18,439.6187438964844,444.11992841630536,437.1011480004759,443.6049834779307,3938800,UNH
2022-01-19,441.0778503417969,453.44657038254115,440.1146931027588,446.30381143129176,4030900,UNH
2022-01-20,441.53558349609375,449.7655062639269,440.5819429269877,442.85161213790815,3228600,UNH
2022-01-21,439.7904357910156,448.9644534454794,439.6950659131695,442.01240552054685,4273200,UNH
2022-01-24,440.8393859863281,442.62271817790673,427.3549243724462,436.83411332503584,4780700,UNH
2022-01-25,435.6611022949219,438.188243681998,426.5347561490912,433.0195287096079,3428900,UNH
2022-01-26,437.1774597167969,442.3748127045202,432.42834808459367,437.19655115487126,4435900,UNH
2022-01-27,440.2004699707031,446.9522320488836,435.8232634750642,436.8436367136108,3508100,UNH
2022-01-28,444.45367431640625,444.6634763835388,433.9826914977306,440.0097062419052,3364400,UNH
2022-01-31,450.661865234375,451.2435719276485,442.8706101118158,443.4428001906856,3500500,UNH
2022-02-01,446.6947937011719,452.9792817172925,441.2971844519518,452.9792817172925,3148600,UNH
2022-02-02,457.53765869140625,459.6356795277451,447.31463090331835,447.31463090331835,3026800,UNH
2022-02-03,466.1108703613281,476.99191227739175,461.1519570777505,475.53284343376464,4370900,UNH
2022-02-04,460.7704772949219,466.93098656361775,457.92861822595074,459.4162950264061,3066400,UNH
2022-02-07,461.2760009765625,464.6709594133458,458.9872400999326,462.4298980316144,2937200,UNH
2022-02-08,470.5357360839844,472.69097280543843,459.0348346302514,459.0348346302514,3534700,UNH
2022-02-09,475.00836181640625,477.7071517565432,473.2822747562494,473.95935139517286,2818100,UNH
2022-02-10,464.15594482421875,471.3082491828866,462.582443685872,469.4200303551899,2626100,UNH
2022-02-11,455.964111328125,467.6938771786124,454.35245664536353,462.21044461139815,2493800,UNH
2022-02-14,452.4070739746094,455.5922299395159,447.5721093707099,453.0841506206284,2549500,UNH
2022-02-15,456.0595703125,458.8632761012272,453.17004035915494,453.875725114548,3001000,UNH
2022-02-16,457.79510498046875,459.39724311968536,449.5461205733922,453.4560523978025,2651800,UNH
2022-02-17,448.5352478027344,457.07034151021134,447.1524866056172,456.0022688577962,2403100,UNH
2022-02-18,446.12261962890625,452.9030196239851,445.1880413369341,448.44950508826355,2992300,UNH
2022-02-22,441.06829833984375,445.5313291114281,436.59572184990134,442.3270817427112,3029800,UNH
2022-02-23,438.3122253417969,446.0367189196032,437.5683869440998,445.53129063787054,2840300,UNH
2022-02-24,434.75518798828125,435.4227188865424,425.07571348690544,428.680473466472,3933000,UNH
2022-02-25,453.6944885253906,453.7230965775808,435.079435595114,435.4799483257766,3314400,UNH
2022-02-28,453.80889892578125,455.18214357051676,444.02453810774006,444.2534316170616,3918300,UNH
2022-03-01,454.1712951660156,454.8483717827288,446.0462884570611,449.05979597611537,2917600,UNH
2022-03-02,462.8780822753906,464.5851071099428,455.7353234450471,456.02140398589864,3675900,UNH
2022-03-03,464.0319519042969,468.59989828927536,459.86454735569896,463.46930747192414,3139400,UNH
2022-03-04,475.5328674316406,476.4960537263572,455.35382934987996,458.4054908343915,4170100,UNH
2022-03-07,464.2989501953125,476.82025474126596,460.627428413245,476.82025474126596,4123300,UNH
2022-03-08,451.5106506347656,462.0293048298868,449.6605856232313,456.6030877243249,3849500,UNH
2022-03-09,463.0592346191406,465.1095559180777,451.63461070419214,460.20782967235556,3115500,UNH
2022-03-10,468.6571350097656,470.8218886772857,455.6780714150608,457.1085323035158,2834800,UNH
2022-03-11,461.8470458984375,472.30117409038706,461.5027334067378,466.59109175834516,2615000,UNH
2022-03-14,466.67724609375,474.0132979128828,464.15217081117515,469.0492546682537,2704100,UNH
2022-03-15,476.23223876953125,478.17385644391726,466.0937306043616,468.6666170206702,3043000,UNH
2022-03-16,476.5670471191406,483.49182675134614,468.676230955543,478.0686711630574,3497100,UNH
2022-03-17,484.94561767578125,485.0412697658203,473.6211049114481,474.4054111852807,2357200,UNH
2022-03-18,484.0848388671875,488.4463059198289,479.7233718145461,486.59076616974914,5065600,UNH
2022-03-21,485.5578308105469,490.66533784213925,482.4014865625357,483.0232106341373,2617700,UNH
2022-03-22,483.3197021484375,489.56540194123124,482.86058957902117,487.09771201538774,2752500,UNH
2022-03-23,481.3206787109375,484.98391758018437,479.5033764424351,480.4024536103505,2753200,UNH
2022-03-24,491.10528564453125,493.3242857826151,481.9232100685456,483.01359139445464,2789200,UNH
2022-03-25,490.6940002441406,494.0416191022576,487.06896989024784,491.80347109372406,2551100,UNH
2022-03-28,490.8565979003906,494.6250627252272,486.6577132476062,491.92783129830786,2643000,UNH
2022-03-29,488.4941101074219,496.96838315665013,485.21342150200377,494.58674246026254,3478400,UNH
2022-03-30,498.1448059082031,498.5082663281769,490.16788297751316,492.68338402098726,3041200,UNH
2022-03-31,487.7671813964844,499.168227218664,487.4802543225791,494.58673449026423,3979700,UNH
2022-04-01,490.273193359375,492.36784880360943,484.54396249555055,488.44631708859464,2344100,UNH
