Price,Close,High,Low,Open,Volume,Ticker
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,
Date,,,,,,
2022-01-03,178.8799285888672,179.73497720500467,174.653888631977,174.77182016673515,104487900,AAPL
2022-01-04,176.60963439941406,179.79392040563258,176.0396070589959,179.4892539814939,99310400,AAPL
2022-01-05,171.91183471679688,177.0715485386063,171.63665117934394,176.52118146370043,94537600,AAPL
2022-01-06,169.0420684814453,172.285320469028,168.68825890104756,169.73002738877994,96904000,AAPL
2022-01-07,169.20916748046875,171.14529032437787,168.08877281413805,169.91678674303358,86709100,AAPL
2022-01-10,169.22879028320312,169.53345670452697,165.27791944101605,166.1722734494287,106765600,AAPL
2022-01-11,172.06907653808594,172.1673477977068,167.8823429695319,169.3565468312396,76138300,AAPL
2022-01-12,172.51133728027344,174.13295555388092,171.81355583992206,173.09118720876316,74805200,AAPL
2022-01-13,169.22879028320312,173.5825988136433,168.83566022635117,172.7570481888216,84505800,AAPL
2022-01-14,170.09365844726562,170.7914399169012,168.1476984416165,168.3933990992247,80440800,AAPL
2022-01-18,166.8798828125,169.5727523119223,166.4965904021834,168.5604668437431,90956700,AAPL
2022-01-19,163.3712921142578,168.13789130970082,163.0862859235723,167.07646257144611,94815000,AAPL
2022-01-20,161.68087768554688,166.7619661877595,161.3565509731018,164.10840171802175,91420500,AAPL
2022-01-21,159.61700439453125,163.4695895238368,159.50889548799853,161.59243259966877,122848900,AAPL
2022-01-24,158.84059143066406,159.50890516515202,152.03959752482095,157.26811587232896,162294600,AAPL
2022-01-25,157.0322265625,159.9609746399648,154.3196962957588,156.24598134135783,115798400,AAPL
2022-01-26,156.9437713623047,161.5629412237311,155.10593504422843,160.6882473882618,108275300,AAPL
2022-01-27,156.4818572998047,161.02240127110773,155.55802030212934,159.65630602886313,121954600,AAPL
2022-01-28,167.40077209472656,167.42043234611594,160.00026956448573,162.86022878833853,179935700,AAPL
2022-01-31,171.77426147460938,171.99047927683918,166.5948868425434,167.2337176205423,115541600,AAPL
2022-02-01,171.607177734375,171.83321815334287,169.3467285555597,171.01749012376968,86213900,AAPL
2022-02-02,172.8160400390625,172.85536054887322,170.3492104199486,171.74478859061858,84914300,AAPL
2022-02-03,169.92660522460938,173.20917811107464,169.16002020827554,171.47943551308546,89418100,AAPL
2022-02-04,169.64117431640625,171.3239143132531,167.9584343195594,168.94248893361487,82465400,AAPL
2022-02-07,168.9228515625,171.1763304609041,168.22416604358875,170.1037143263292,77251200,AAPL
2022-02-08,172.0422821044922,172.55399474420673,168.69648717156835,168.99170657969145,74829200,AAPL
2022-02-09,173.46920776367188,173.8333032952092,172.11120710909282,173.24287932640442,71285000,AAPL
2022-02-10,169.37551879882812,172.68194375053233,168.8146153330359,171.36331383328056,90865900,AAPL
2022-02-11,165.95098876953125,170.32019416538782,165.3605499263947,169.5821531192089,98670700,AAPL
2022-02-14,166.1871795654297,166.87601492289843,163.90416522012222,164.70124720629926,86185500,AAPL
2022-02-15,170.0348663330078,170.19231874551244,167.53537310032308,168.24389394110537,62527400,AAPL
2022-02-16,169.79867553710938,170.57607229918491,167.33853829378842,169.1098401120767,61177400,AAPL
2022-02-17,166.1871795654297,169.1688644106395,165.78371349338204,168.30289138097328,69589300,AAPL
2022-02-18,164.6324005126953,167.82072902550368,163.5400988885513,167.1122232569253,82772700,AAPL
2022-02-22,161.6999053955078,164.03211066057264,159.56449308823295,162.3493702057695,91162800,AAPL
2022-02-23,157.51766967773438,163.50071005203375,157.20276491304196,162.90043598288878,90009200,AAPL
2022-02-24,160.1450958251953,160.25334246210673,149.5763410580208,150.14709468760051,141147500,AAPL
2022-02-25,162.22142028808594,162.4871042410033,158.30487184368425,161.2275154496376,91974200,AAPL
2022-02-28,162.4871368408203,162.78235630766343,159.84002681342048,160.45998619224247,95056600,AAPL
2022-03-01,160.59774780273438,163.94354328714707,159.3873645469528,162.07383007117033,83474400,AAPL
2022-03-02,163.9041748046875,164.69142169446647,160.35173616541616,161.7687775639212,79724800,AAPL
2022-03-03,163.57943725585938,166.21671212228483,162.91028714997404,165.78372557589515,76678400,AAPL
2022-03-04,160.5682373046875,162.91029278730187,159.5153063627005,161.8671969888056,83737200,AAPL
2022-03-07,156.75994873046875,162.3887439653584,156.50408484630077,160.75520922600182,96418800,AAPL
2022-03-08,154.92959594726562,160.28285666328267,153.3157466151268,156.28759642734667,131148300,AAPL
2022-03-09,160.35174560546875,160.80441747377364,156.8681978086355,158.90518367729157,91454900,AAPL
2022-03-10,155.99240112304688,157.83257914825734,153.49289304131352,157.6456062977945,105342000,AAPL
2022-03-11,152.26280212402344,156.74025467661986,152.03647371376925,156.39582947431037,96970100,AAPL
2022-03-14,148.21832275390625,151.66251440478936,147.70662509120922,149.03509000440232,108732100,AAPL
2022-03-15,152.61705017089844,153.089407270085,147.98216062819657,148.49385829575584,92964300,AAPL
2022-03-16,157.04531860351562,157.44878471807237,151.99712715402308,154.54582575293017,102300200,AAPL
2022-03-17,158.05886840820312,158.43281401642653,155.11655432923627,156.08092377543556,75615400,AAPL
2022-03-18,161.36534118652344,161.85736870631507,157.21262771824308,157.95066899793053,123511700,AAPL
2022-03-21,162.7429656982422,163.69749992685104,160.410745925995,160.902773259691,95811400,AAPL
2022-03-22,166.1281280517578,166.71855188517935,162.28047042303692,162.87089425645846,81532000,AAPL
2022-03-23,167.49594116210938,169.88718664822952,164.97674875672146,165.31133873466345,98062700,AAPL
2022-03-24,171.29444885253906,171.36332488957797,167.49599622256298,168.33243390367338,90131400,AAPL
2022-03-25,171.93406677246094,172.48513509296794,169.99547749215097,171.10746429170044,80546200,AAPL
2022-03-28,172.80003356933594,172.92795048627315,169.25743018713217,169.42471770580778,90371900,AAPL
2022-03-29,176.10646057128906,176.15565130084448,173.52822668291532,173.8726518827145,100589400,AAPL
2022-03-30,174.93544006347656,176.74609743731983,173.88249413539714,175.7030016679424,92633200,AAPL
2022-03-31,171.82582092285156,175.19128676604245,171.61916279397346,175.00431393883977,103049300,AAPL
2022-04-01,171.53060913085938,172.09152763755276,169.19840379678678,171.2550749570232,78751300,AAPL
2022-04-04,175.59474182128906,175.6439475646401,171.6585226009615,171.78645453057726,76468400,AAPL
2022-04-05,172.26866149902344,175.4570050231917,171.63886691572336,174.66975804019478,73401800,AAPL
2022-04-06,169.0901336669922,170.86143526379934,167.41724355380708,169.6116814961237,89058800,AAPL
2022-04-07,169.39517211914062,170.5957200307203,167.14169350736208,168.43080273648053,77594700,AAPL
2022-04-08,167.3778533935547,169.04090817021842,166.50204534741303,169.04090817021842,76575500,AAPL
2022-04-11,163.1071014404297,166.33480034612657,162.8610877127669,166.01991058277108,72246700,AAPL
2022-04-12,164.98663330078125,167.1613860255376,163.98289318870957,165.34089363354275,79265200,AAPL
2022-04-13,167.6829376220703,168.3127321148904,164.11082878699807,164.72093797881234,70618900,AAPL
2022-04-14,162.65444946289062,168.5391093592671,162.4084357051471,167.89946457984104,75329400,AAPL
2022-04-18,162.43792724609375,163.94352983512067,160.96184509877446,161.30625525719185,69023900,AAPL
2022-04-19,164.73077392578125,165.14409017149563,161.2964321500132,162.3887336211493,67723800,AAPL
2022-04-20,164.56349182128906,166.18719136722032,163.45152002793873,166.06909457220715,67929800,AAPL
2022-04-21,163.7664031982422,168.7949239860417,163.26454063992998,166.21670513338208,87227800,AAPL
2022-04-22,159.2102508544922,165.19330701919603,158.9248815130789,163.80580088958305,84882400,AAPL
2022-04-25,160.28285217285156,160.5682214607871,155.9333317168137,158.55090609825874,96046400,AAPL
2022-04-26,154.2998046875,159.7514619922399,154.22107849702726,159.66290065876512,95623200,AAPL
2022-04-27,154.07345581054688,157.24209821717469,152.9024282829644,153.42397608702464,88063200,AAPL
2022-04-28,161.03073120117188,161.89670425341123,156.3958263617354,156.71073111363518,130216800,AAPL
2022-04-29,155.13626098632812,163.54993403564234,154.74264500205678,159.25945373894038,131747600,AAPL
2022-05-02,155.4413299560547,155.70701398729622,150.82610973572451,154.2112612412753,123055300,AAPL
2022-05-03,156.93704223632812,158.1474403507243,153.8274407389376,155.62824765941318,88966500,AAPL
2022-05-04,163.37277221679688,163.82542898874118,156.7205525613251,157.12401860863298,108256500,AAPL
2022-05-05,154.270263671875,161.46370131983915,152.479276862281,161.23737293708814,130525300,AAPL
2022-05-06,154.99954223632812,157.12822726592017,151.94448418251287,153.74795219056614,116124600,AAPL
2022-05-09,149.855224609375,153.5705662251753,149.29349706523496,152.68360662844097,131577900,AAPL
2022-05-10,152.2696990966797,154.46737635991622,150.71260627459526,153.26506437118704,115366700,AAPL
2022-05-11,144.37583923339844,153.19606667734942,143.69584140711092,151.2743434971103,142689800,AAPL
2022-05-12,140.49301147460938,144.0802342914957,136.78753335704522,140.6999732883465,182602000,AAPL
2022-05-13,144.97698974609375,145.9526407258744,141.03498745815705,142.4935240941809,113990900,AAPL
2022-05-16,143.42974853515625,145.38105052063565,142.08946713795373,143.43961316503615,86643800,AAPL
2022-05-17,147.0760955810547,147.59840962723905,144.55320174589355,146.7016005903777,78336300,AAPL
2022-05-18,138.7781982421875,145.22336538861344,137.87152447980347,144.72076550868903,109742900,AAPL
2022-05-19,135.35850524902344,139.6060101724561,134.61937984366847,137.85182041341724,136095600,AAPL
2022-05-20,135.5950164794922,138.65992377824847,130.68722797221466,137.07326729810367,137426100,AAPL
2022-05-23,141.03500366210938,141.18282274987226,135.65416330433425,135.79213279876197,117726300,AAPL
2022-05-24,138.3248748779297,139.91153156082976,135.3388090457555,138.76834717267448,104132700,AAPL
